name,year,theme,theme_id,num_parts,img_url
Ninjago: Book of Adventures,2022,Activity Books with LEGO Parts,761,1,https://cdn.rebrickable.com/media/sets/0003977811-1.jpg
Gears,1965,Samsonite,756,43,https://cdn.rebrickable.com/media/sets/001-1.jpg
Town Mini-Figures,1979,Classic Town,67,12,https://cdn.rebrickable.com/media/sets/0011-2.jpg
Castle 2 for 1 Bonus Offer,1987,Lion Knights,199,0,https://cdn.rebrickable.com/media/sets/0011-3.jpg
Space Mini-Figures,1979,Supplemental,143,12,https://cdn.rebrickable.com/media/sets/0012-1.jpg
Space Mini-Figures,1979,Supplemental,143,12,https://cdn.rebrickable.com/media/sets/0013-1.jpg
Space Mini-Figures,1979,Supplemental,143,2,https://cdn.rebrickable.com/media/sets/0014-1.jpg
Space Mini-Figures,1979,Supplemental,143,18,https://cdn.rebrickable.com/media/sets/0015-1.jpg
Castle Mini Figures,1979,Classic Castle,189,15,https://cdn.rebrickable.com/media/sets/0016-1.jpg
4.5V Samsonite Gears Motor Set,1965,Samsonite,756,3,https://cdn.rebrickable.com/media/sets/002-1.jpg
Master Mechanic Set,1966,Samsonite,756,403,https://cdn.rebrickable.com/media/sets/003-1.jpg
Master Builder Set,1966,Samsonite,756,817,https://cdn.rebrickable.com/media/sets/004-1.jpg
Basic Building Set in Cardboard,1965,System,365,35,https://cdn.rebrickable.com/media/sets/005-1.jpg
Discovery Set,1967,Samsonite,756,0,https://cdn.rebrickable.com/media/sets/005-2.jpg
Special Offer,1985,Classic Town,67,0,https://cdn.rebrickable.com/media/sets/00-6.jpg
Basic Building Set in Cardboard,1965,System,365,57,https://cdn.rebrickable.com/media/sets/010-1.jpg
Pre-School Set,1973,Basic Set,505,18,https://cdn.rebrickable.com/media/sets/010-2.jpg
Basic Building Set,1968,System,365,77,https://cdn.rebrickable.com/media/sets/010-3.jpg
The Majestic Horse,2023,Icons,721,492,https://cdn.rebrickable.com/media/sets/010423-1.jpg
Chain Links,1980,Technic,453,25,https://cdn.rebrickable.com/media/sets/01-1.jpg
Basic Building Set,1968,System,365,145,https://cdn.rebrickable.com/media/sets/011-1.jpg
Bulldozer Chain Links,1982,Technic,453,50,https://cdn.rebrickable.com/media/sets/01-2.jpg
Extra Large Tires & Hubs,1982,Technic,453,4,https://cdn.rebrickable.com/media/sets/02-1.jpg
Wheel Set,1966,Samsonite,756,183,https://cdn.rebrickable.com/media/sets/021-1.jpg
Digger Bucket Assembly,1980,Service Packs,443,3,https://cdn.rebrickable.com/media/sets/02-2.jpg
Basic Building Set,1968,System,365,110,https://cdn.rebrickable.com/media/sets/022-1.jpg
Doll Furniture,1965,Samsonite,756,0,https://cdn.rebrickable.com/media/sets/022-2.jpg
Ninjago: Build Your Own Adventure,2015,Activity Books with LEGO Parts,761,74,https://cdn.rebrickable.com/media/sets/0241187567-1.jpg
Star Wars: Build Your Own Adventure: Galactic Missions,2019,Activity Books with LEGO Parts,761,70,https://cdn.rebrickable.com/media/sets/0241357594-1.jpg
Nursery Furniture,1979,Playhouse,652,7,https://cdn.rebrickable.com/media/sets/028-1.jpg
Building Set,1973,Basic Set,505,29,https://cdn.rebrickable.com/media/sets/030-2.jpg
The Race to Build It Board Game,1999,Early Creator,674,77,https://cdn.rebrickable.com/media/sets/03093-1.jpg
