name,year,theme,theme_id,num_parts,img_url
Optimus Prime,2022,Icons,721,1508,https://cdn.rebrickable.com/media/sets/10302-1.jpg
Fender Stratocaster,2021,LEGO Ideas and CUUSOO,576,1079,https://cdn.rebrickable.com/media/sets/21329-1.jpg
Bumblebee,2024,Icons,721,950,https://cdn.rebrickable.com/media/sets/10338-1.jpg
Bonsai,2021,Icons,721,878,https://cdn.rebrickable.com/media/sets/10281-1.jpg
McLaren Senna GTR,2021,Technic,1,830,https://cdn.rebrickable.com/media/sets/42123-1.jpg
Lamborghini Huracán Tecnica,2023,Technic,1,806,https://cdn.rebrickable.com/media/sets/42161-1.jpg
Jeep Wrangler,2021,Technic,1,665,https://cdn.rebrickable.com/media/sets/42122-1.jpg
Cargo Terminal,2013,Airport,53,658,https://cdn.rebrickable.com/media/sets/60022-1.jpg
Ducati Panigale V4 R,2020,Technic,1,646,https://cdn.rebrickable.com/media/sets/42107-1.jpg
McLaren Solus GT & McLaren F1 LM,2023,Speed Champions,601,587,https://cdn.rebrickable.com/media/sets/76918-1.jpg
Mercedes-AMG F1 W12 E Performance & Mercedes-AMG Project One,2022,Speed Champions,601,567,https://cdn.rebrickable.com/media/sets/76909-1.jpg
Chevrolet Corvette C8.R Race Car and 1968 Chevrolet Corvette,2021,Speed Champions,601,515,https://cdn.rebrickable.com/media/sets/76903-1.jpg
Coast Guard Patrol,2013,Coast Guard,55,450,https://cdn.rebrickable.com/media/sets/60014-1.jpg
Formula E Porsche 99X Electric,2022,Technic,1,422,https://cdn.rebrickable.com/media/sets/42137-1.jpg
Fast & Furious 1970 Dodge Charger R/T,2022,Speed Champions,601,345,https://cdn.rebrickable.com/media/sets/76912-1.jpg
Plum Blossom,2024,Icons,721,327,https://cdn.rebrickable.com/media/sets/10369-1.jpg
Lucky Bamboo,2025,Botanicals,769,325,https://cdn.rebrickable.com/media/sets/10344-1.jpg
2 Fast 2 Furious Nissan Skyline GT-R (R34),2023,Speed Champions,601,319,https://cdn.rebrickable.com/media/sets/76917-1.jpg
"Belle Bottom, Kevin and Bob",2021,Brickheadz,610,309,https://cdn.rebrickable.com/media/sets/40421-1.jpg
Toyota GR Supra,2021,Speed Champions,601,302,https://cdn.rebrickable.com/media/sets/76901-1.jpg
Nissan GT-R NISMO,2020,Speed Champions,601,301,https://cdn.rebrickable.com/media/sets/76896-1.jpg
Aston Martin DB5,2022,Speed Champions,601,298,https://cdn.rebrickable.com/media/sets/76911-1.jpg
Koenigsegg Jesko,2021,Speed Champions,601,283,https://cdn.rebrickable.com/media/sets/76900-1.jpg
Mini Orchid,2025,Botanicals,769,274,https://cdn.rebrickable.com/media/sets/10343-1.jpg
Lamborghini Countach,2022,Speed Champions,601,262,https://cdn.rebrickable.com/media/sets/76908-1.jpg
Retro Camera,2024,Creator 3-in-1,672,261,https://cdn.rebrickable.com/media/sets/31147-1.jpg
1985 Audi Sport quattro S1,2020,Speed Champions,601,253,https://cdn.rebrickable.com/media/sets/76897-1.jpg
"Gru, Stuart and Otto",2021,Brickheadz,610,244,https://cdn.rebrickable.com/media/sets/40420-1.jpg
Monster Jam Dragon,2023,Technic,1,217,https://cdn.rebrickable.com/media/sets/42149-1.jpg
Mighty Dinosaurs,2017,Creator 3-in-1,672,174,https://cdn.rebrickable.com/media/sets/31058-1.jpg
Minecraft Skeleton BigFig with Magma Cube,2019,Minecraft,577,142,https://cdn.rebrickable.com/media/sets/21150-1.jpg
Dolphin and Turtle,2022,Creator 3-in-1,672,137,https://cdn.rebrickable.com/media/sets/31128-1.jpg
Creative Monkey Fun,2023,Classic,621,135,https://cdn.rebrickable.com/media/sets/11031-1.jpg
Panda,2023,Creator 3-in-1,672,83,https://cdn.rebrickable.com/media/sets/30641-1.jpg
Flower Garden,2024,Friends,494,64,https://cdn.rebrickable.com/media/sets/30659-1.jpg
Birthday Train,2023,Creator,22,58,https://cdn.rebrickable.com/media/sets/30642-1.jpg
Yellow Yoshi's Fruit Tree Expansion Set,2022,Super Mario,690,46,https://cdn.rebrickable.com/media/sets/30509-1.jpg
Maple's Pumpkin Garden,2024,Animal Crossing,752,29,https://cdn.rebrickable.com/media/sets/30662-1.jpg
